metric,spot,perp,ratio
Snapshots,839.0,831.0,0.9904648390941597
Mid Price Mean ($),28235.56632896305,28217.21040914561,0.9993499007739536
Spread Mean (bps),0.0038475386182208293,0.03544246975531875,9.21172553992661
Spread Median (bps),0.0035281513839435907,0.035304563643905745,10.006533110958543
Spread Std (bps),0.008730002372094686,0.000333376495258233,0.03818744612531443
Spread P5 (bps),0.003504412443319803,0.035064957836123664,10.005944906104117
Spread P95 (bps),0.0036094188691513235,0.03610799196096318,10.003824235964387
Best Bid Size (BTC),3.7287276996424317,10.689198555956681,2.8667147126301895
Best Ask Size (BTC),3.4952596305125154,9.143052948255114,2.6158437182860874
Depth L10 Total (BTC),1216.5106339809297,3741.9399903730446,3.0759615952783395
Depth L10 Total ($M),34.38251048094096,105.63405420515342,3.072319406801574
Depth ±0.1% (BTC),122.25022709177591,662.7803116726835,5.42150577090642
Depth ±0.5% (BTC),478.5494561144219,3741.9399903730446,7.819338090478032
Depth ±1.0% (BTC),855.653921954708,3741.9399903730446,4.373193290372267
OB Imbalance Mean,-0.020819275210993853,-0.005666901240208434,0.2721949339147005
OB Imbalance Std,0.2095577402059398,0.16363729814949776,0.7808697401903915
